Movie Title,Worldwide Box Office,International Box Office,Domestic Box Office,Total Expert Reviews,Avg Expert Score,Avg Positive Emotion
Last Night,20048.00,20048.00,n/a,6,6.1666666666666667,0.97000000000000000000
Starbuck,6824619.00,3034560.00,3790059.00,6,7.1666666666666667,1.2516666666666667
Next Friday,59675307.00,2498725.00,57176582.00,6,8.3333333333333333,1.9883333333333333
Outcast,3820123.00,3820123.00,n/a,6,2.8333333333333333,3.7066666666666667
Space Cowboys,128874043.00,38420000.00,90454043.00,6,5.8333333333333333,1.03500000000000000000
Supernova,14816494.00,597626.00,14218868.00,6,3.5000000000000000,6.0250000000000000
The Woodsman,1703768.00,136956.00,1566812.00,6,9.0000000000000000,3.5850000000000000
Freak Show,20657.00,961.00,19696.00,6,7.8333333333333333,1.09833333333333333333
Path of Blood,5364.00,5364.00,n/a,6,9.8333333333333333,4.3733333333333333
The Vatican Tapes,14929184.00,13144421.00,1784763.00,6,4.6666666666666667,1.8216666666666667
Girl with a Pearl Earring,43153588.00,31519226.00,11634362.00,6,7.1666666666666667,0.95666666666666666667
Hannah Takes the Stairs,,,22509.00,6,4.0000000000000000,2.8916666666666667
Ideal Home,191791.00,191791.00,n/a,6,6.1666666666666667,2.1683333333333333
Manic,,,75535.00,6,7.3333333333333333,1.9933333333333333
Old Fashioned,,,1914090.00,6,8.0000000000000000,1.8066666666666667
Bitter Harvest,606162.00,48921.00,557241.00,6,6.5000000000000000,4.0183333333333333
Clemency,364952.00,236.00,364716.00,6,6.0000000000000000,2.2533333333333333
Godzilla 2000,,,10037390.00,6,7.0000000000000000,3.1416666666666667
The Other Side of Heaven,,,4720371.00,6,6.8333333333333333,2.4283333333333333
After the Wedding,2940227.00,1366951.00,1573276.00,6,6.6666666666666667,1.9933333333333333
Ashby,118224.00,113593.00,4631.00,6,5.6666666666666667,1.7733333333333333
"Bless Me, Ultima",,,1559556.00,6,6.0000000000000000,1.5683333333333333
The Program,1903139.00,1903139.00,n/a,6,6.5000000000000000,1.6766666666666667
Kinsey,17443529.00,7228882.00,10214647.00,6,8.3333333333333333,1.4600000000000000
Flight of the Phoenix,34009180.00,13000000.00,21009180.00,6,7.3333333333333333,2.8700000000000000
American Woman,245436.00,8799.00,236637.00,6,6.6666666666666667,9.0416666666666667
Hellion,,,51748.00,6,6.3333333333333333,3.2416666666666667
Unknown,3355048.00,3328645.00,26403.00,6,6.8333333333333333,0.97166666666666666667
Quills,11732088.00,4671212.00,7060876.00,6,6.8333333333333333,1.2083333333333333
The Broken Circle Breakdown,3985226.00,3810188.00,175038.00,6,8.0000000000000000,1.9966666666666667
The Dinner,2492001.00,1168689.00,1323312.00,6,3.5000000000000000,3.2466666666666667
Next Day Air,10172519.00,145472.00,10027047.00,6,5.8333333333333333,3.1233333333333333
The Reluctant Fundamentalist,,,528731.00,6,7.5000000000000000,1.1850000000000000
I Give It a Year,28328531.00,28293874.00,34657.00,6,5.0000000000000000,4.2850000000000000
The Look of Silence,337331.00,228242.00,109089.00,6,6.0000000000000000,3.8400000000000000
You Got Served,50811858.00,10745361.00,40066497.00,6,4.8333333333333333,5.7900000000000000
Exit Wounds,79958599.00,28200000.00,51758599.00,6,7.8333333333333333,0E-20
CBGB,,,n/a,6,6.0000000000000000,1.3300000000000000
The Kid Detective,367908.00,3770.00,364138.00,6,8.5000000000000000,1.3133333333333333
The Woman,,,n/a,6,4.6666666666666667,2.5333333333333333
Peterloo,2153029.00,2001058.00,151971.00,6,4.8333333333333333,1.7150000000000000
De Palma,168042.00,2805.00,165237.00,6,8.6666666666666667,0.85333333333333333333
Marguerite,9092352.00,8595029.00,497323.00,6,7.0000000000000000,1.5116666666666667
Tamara Drewe,6727750.00,6167359.00,560391.00,6,6.1666666666666667,2.1100000000000000
The King,273610.00,14319.00,259291.00,6,6.5000000000000000,4.0183333333333333
Rosewater,3185717.00,56776.00,3128941.00,6,8.1666666666666667,1.6900000000000000
Made in Dagenham,15644196.00,14548827.00,1095369.00,6,7.6666666666666667,1.02166666666666666667
Honeydripper,,,267880.00,6,6.8333333333333333,2.3300000000000000
Mayhem,17366.00,17366.00,n/a,6,7.0000000000000000,4.1316666666666667
The Cooler,11131455.00,2839883.00,8291572.00,6,4.5000000000000000,3.0750000000000000
Price Check,,,7413.00,6,6.1666666666666667,2.3016666666666667
Drawing Restraint 9,243743.00,9000.00,234743.00,6,3.0000000000000000,1.4100000000000000
Baskin,318156.00,318156.00,n/a,6,6.3333333333333333,3.7150000000000000
Here Today,2847107.00,39613.00,2807494.00,6,7.1666666666666667,3.8766666666666667
Formula 51,,,5204007.00,6,8.5000000000000000,1.5683333333333333
Cut Throat City,864797.00,8903.00,855894.00,6,7.5000000000000000,4.5433333333333333
Beneath,,,n/a,6,5.6666666666666667,8.9300000000000000
Open Range,68613992.00,10282738.00,58331254.00,6,5.6666666666666667,3.7083333333333333
Generation Wealth,290369.00,52660.00,237709.00,6,5.0000000000000000,4.0316666666666667
The Thing About My Folks,,,815101.00,6,8.6666666666666667,3.4533333333333333
Coffee and Cigarettes,3729806.00,1758671.00,1971135.00,6,5.6666666666666667,18.9083333333333333
Landline,,,940854.00,6,5.1666666666666667,1.15666666666666666667
The World to Come,202878.00,89799.00,113079.00,6,6.5000000000000000,1.6766666666666667
Legendary,,,200393.00,6,7.0000000000000000,2.5550000000000000
Reindeer Games,,,23360779.00,6,5.1666666666666667,2.5383333333333333
Chicago 10,,,176545.00,6,5.1666666666666667,5.0600000000000000
Arizona,,,n/a,6,6.0000000000000000,4.3383333333333333
Benedetta,3943733.00,3589252.00,354481.00,6,7.5000000000000000,1.6716666666666667
Mean Machine,,,92723.00,6,8.8333333333333333,0.54833333333333333333
Demon,,,104039.00,6,6.0000000000000000,2.0533333333333333
Where the Truth Lies,1415656.00,543514.00,872142.00,6,6.5000000000000000,1.07166666666666666667
Chrystal,,,80701.00,6,5.3333333333333333,2.9116666666666667
Tracers,2880901.00,2878901.00,2000.00,6,5.1666666666666667,1.7116666666666667
Mouth to Mouth,,,2150.00,6,8.6666666666666667,2.8450000000000000
The Other Man,,,149530.00,6,4.3333333333333333,2.2366666666666667
Nobel Son,544772.00,5200.00,539572.00,6,6.1666666666666667,0.78500000000000000000
Risk,287781.00,87562.00,200219.00,6,5.8333333333333333,1.2700000000000000
Tokyo Godfathers,847106.00,480540.00,366566.00,6,9.6666666666666667,1.2850000000000000
The Rules of Attraction,11799060.00,5273298.00,6525762.00,6,7.3333333333333333,2.5066666666666667
Lake of Fire,26007.00,690.00,25317.00,6,7.5000000000000000,0.84000000000000000000
The Wolfpack,1632774.00,331078.00,1301696.00,6,7.6666666666666667,2.4683333333333333
Borgman,138368.00,80893.00,57475.00,6,5.0000000000000000,1.7500000000000000
Extra Ordinary,223713.00,59367.00,164346.00,6,6.1666666666666667,4.5483333333333333
Alien Outpost,45769.00,45769.00,n/a,6,3.1666666666666667,3.6183333333333333
Pawn Shop Chronicles,,,8088.00,6,5.6666666666666667,5.8883333333333333
Leaves of Grass,85527.00,15461.00,70066.00,6,7.8333333333333333,0.72333333333333333333
The Keeping Room,64593.00,37427.00,27166.00,6,6.3333333333333333,4.3366666666666667
The Trip,3455221.00,1424259.00,2030962.00,6,7.5000000000000000,3.4300000000000000
The Art of the Steal,,,61446.00,6,5.5000000000000000,2.1700000000000000
Boys State,,,n/a,6,9.0000000000000000,2.0033333333333333
The Foot Fist Way,,,234286.00,6,7.6666666666666667,2.3333333333333333
Gracie,3922043.00,965704.00,2956339.00,6,7.3333333333333333,2.2466666666666667
The Edukators,223170.00,47677.00,175493.00,6,7.3333333333333333,1.8050000000000000
Through the Fire,,,14769.00,6,9.8333333333333333,1.6683333333333333
Nurse Betty,27732366.00,2562312.00,25170054.00,6,5.3333333333333333,0.89666666666666666667
Dear Frankie,3099369.00,1758478.00,1340891.00,6,9.0000000000000000,1.16333333333333333333
Starlet,146222.00,58010.00,88212.00,6,6.5000000000000000,2.0166666666666667
Little Ashes,,,481586.00,6,8.8333333333333333,2.2583333333333333
Father Figures,21038441.00,3537197.00,17501244.00,6,4.5000000000000000,3.3983333333333333
The Baxter,,,181872.00,6,7.3333333333333333,2.4850000000000000
Bel Ami,6165119.00,6044657.00,120462.00,6,8.0000000000000000,1.05333333333333333333
Ophelia,357870.00,307148.00,50722.00,6,6.6666666666666667,2.7700000000000000
The Seagull,1841656.00,588696.00,1252960.00,6,5.0000000000000000,3.1066666666666667
Il Divo,6420093.00,6179934.00,240159.00,6,5.5000000000000000,2.1450000000000000
Vamps,94812.00,91451.00,3361.00,6,6.1666666666666667,3.3200000000000000
Morvern Callar,,,267194.00,6,6.6666666666666667,2.7350000000000000
Lottery Ticket,,,24719879.00,6,5.1666666666666667,1.2466666666666667
Little Joe,215366.00,191504.00,23862.00,6,6.1666666666666667,2.0633333333333333
Tower,,,101987.00,6,8.8333333333333333,3.0516666666666667
